price,min_to_metro,region_of_moscow,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,link,floor_needs_review,price_per_m2
19601636.0,10.0,ЗАО,68.9,,4,25,2021,True,False,2.63,2,https://www.cian.ru/sale/flat/300889114/,False,284493.9912917271
27000000.0,8.0,ЮВАО,58.0,28.0,26,26,2023,True,False,,2,https://www.cian.ru/sale/flat/298461651/,False,465517.2413793103
22000000.0,18.0,ЮЗАО,45.7,15.5,21,56,2023,True,False,,2,https://www.cian.ru/sale/flat/295267133/,False,481400.43763676146
31729560.0,19.0,ЮВАО,69.7,29.3,22,22,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/300165826/,False,455230.41606886656
27670000.0,5.0,СЗАО,48.3,25.3,17,30,2024,True,False,3.2,2,https://www.cian.ru/sale/flat/299150234/,False,572877.8467908903
37950043.0,7.0,ЮАО,59.3,25.7,18,22,2023,True,False,3.15,2,https://www.cian.ru/sale/flat/293356259/,False,639966.9983136593
15146733.0,6.0,ЗАО,50.1,,18,25,2021,True,False,2.63,2,https://www.cian.ru/sale/flat/299449835/,False,302330.0
26864572.0,4.0,СЗАО,64.52,33.1,45,52,2024,True,False,2.85,2,https://www.cian.ru/sale/flat/287511278/,False,416375.8834469932
19080360.0,11.0,ЗАО,48.6,21.7,28,33,2023,True,False,2.62,2,https://www.cian.ru/sale/flat/291512784/,False,392600.0
33000000.0,11.0,ЮВАО,61.5,,9,14,2023,True,False,,2,https://www.cian.ru/sale/flat/298918046/,False,536585.3658536585
20607312.0,30.0,ЗАО,51.3,20.7,25,33,2023,True,False,2.62,2,https://www.cian.ru/sale/flat/300679483/,False,401701.9883040936
16926240.0,10.0,ЗАО,59.1,,5,25,2021,True,False,2.63,2,https://www.cian.ru/sale/flat/299652496/,False,286400.0
24719029.0,8.0,СВАО,64.0,,7,22,2021,True,False,2.72,2,https://www.cian.ru/sale/flat/299527047/,False,386234.828125
32253218.0,5.0,ЗАО,58.58,,2,57,2024,True,False,2.9,2,https://www.cian.ru/sale/flat/282209330/,False,550584.1242744965
20398240.0,4.0,ВАО,55.43,27.2,19,29,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/300687592/,False,368000.0
16562490.0,10.0,ЗАО,57.0,,4,25,2021,True,False,2.63,2,https://www.cian.ru/sale/flat/300605447/,False,290570.0
22236690.0,7.0,ЗАО,52.5,24.4,9,21,2023,True,False,2.74,2,https://www.cian.ru/sale/flat/276331298/,False,423556.0
106730000.0,5.0,СЗАО,94.2,30.4,2,3,2023,True,True,3.1,2,https://www.cian.ru/sale/flat/300415816/,False,1133014.8619957536
29481400.0,5.0,ЮЗАО,59.8,,32,34,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/300800763/,False,493000.0
23654000.0,9.0,СВАО,62.7,,13,27,2022,True,False,,2,https://www.cian.ru/sale/flat/294033465/,False,377256.77830940986
37190220.0,16.0,СЗАО,60.6,32.4,16,24,2023,True,False,3.15,2,https://www.cian.ru/sale/flat/289497969/,False,613700.0
28500000.0,11.0,ЮВАО,69.8,29.3,13,22,2023,True,False,,2,https://www.cian.ru/sale/flat/297146596/,False,408309.45558739256
35026650.0,19.0,СВАО,84.3,,2,22,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/299702862/,False,415500.0
36074830.0,7.0,ЮАО,68.3,31.9,11,40,2023,True,False,3.15,2,https://www.cian.ru/sale/flat/293203923/,False,528181.9912152269
15600000.0,4.0,ЮАО,50.9,20.7,7,33,2023,True,False,,2,https://www.cian.ru/sale/flat/297150148/,False,306483.300589391
36660947.0,23.0,ЮАО,73.5,36.2,5,11,2024,True,False,3.1,2,https://www.cian.ru/sale/flat/299226744/,False,498788.39455782314
23500000.0,17.0,ЮВАО,50.5,25.1,3,3,2023,True,False,5.05,2,https://www.cian.ru/sale/flat/295408788/,False,465346.5346534653
19999000.0,17.0,ЮАО,65.61,37.8,4,12,2024,True,False,,2,https://www.cian.ru/sale/flat/299855892/,False,304816.3389727176
16000000.0,9.0,ЮАО,82.2,41.8,13,20,2023,True,False,,2,https://www.cian.ru/sale/flat/293948906/,False,194647.20194647202
23551761.0,7.0,ЮАО,62.1,,11,15,2022,True,False,2.7,2,https://www.cian.ru/sale/flat/300289651/,False,379255.4106280193
70001652.0,1.0,ЦАО,80.6,49.6,59,85,2015,True,True,,2,https://www.cian.ru/sale/flat/288136857/,False,868506.8486352358
22233103.0,29.0,ЗАО,61.2,21.2,7,33,2023,True,False,2.62,2,https://www.cian.ru/sale/flat/300679410/,False,363285.9967320261
120000000.0,5.0,ЦАО,77.4,49.7,2,8,2023,True,False,,2,https://www.cian.ru/sale/flat/300526235/,False,1550387.5968992247
38144962.0,22.0,ЮАО,54.57,29.3,27,29,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/292100453/,False,699009.7489463075
32930240.0,8.0,ЮЗАО,69.9,,18,25,2024,True,False,3.17,2,https://www.cian.ru/sale/flat/294650709/,False,471105.00715307577
22567636.0,7.0,ЗАО,52.1,24.4,13,21,2023,True,False,2.74,2,https://www.cian.ru/sale/flat/285060532/,False,433160.0
35235420.0,16.0,СЗАО,59.1,31.3,7,24,2023,True,False,3.15,2,https://www.cian.ru/sale/flat/296524861/,False,596200.0
