price,min_to_metro,region_of_moscow,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,link
13758188.0,12.0,NAR,57.3,,3.0,10.0,2024.0,1.0,1.0,3.0,2.0,https://www.cian.ru/sale/flat/293041441/
33870474.0,4.0,CAR,49.8,27.2,7.0,22.0,2022.0,1.0,0.0,3.25,2.0,https://www.cian.ru/sale/flat/298576259/
27000000.0,5.0,NWAR,56.7,32.7,7.0,43.0,2023.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/297879015/
37620000.0,16.0,NWAR,68.4,,6.0,6.0,2023.0,1.0,1.0,3.24,2.0,https://www.cian.ru/sale/flat/299370723/
33804798.0,5.0,NWAR,70.58,29.7,43.0,52.0,2024.0,1.0,0.0,2.85,2.0,https://www.cian.ru/sale/flat/299067078/
37585483.0,10.0,WAR,62.7,30.1,15.0,28.0,2022.0,1.0,0.0,3.4,2.0,https://www.cian.ru/sale/flat/298334112/
30320640.0,,NWAR,72.0,43.7,41.0,47.0,2023.0,1.0,0.0,3.05,2.0,https://www.cian.ru/sale/flat/296745611/
24765188.0,9.0,WAR,58.0,21.9,5.0,9.0,2023.0,1.0,0.0,2.74,2.0,https://www.cian.ru/sale/flat/288241596/
20150000.0,17.0,NAR,74.6,,7.0,12.0,2024.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/300110568/
31658683.0,5.0,SAR,73.2,,6.0,24.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/300712731/
35467058.0,17.0,NWAR,73.5,35.7,9.0,43.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/295217122/
17700000.0,4.0,NWAR,43.3,,5.0,54.0,2024.0,1.0,0.0,2.85,2.0,https://www.cian.ru/sale/flat/300121852/
30756000.0,9.0,NEAR,82.0,,8.0,27.0,2022.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/294033540/
27984400.0,5.0,SWAR,43.0,,35.0,42.0,2024.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/300672653/
139720000.0,1.0,CAR,99.8,,5.0,9.0,2023.0,1.0,1.0,,2.0,https://www.cian.ru/sale/flat/289484495/
32357376.0,25.0,SAR,62.6,35.3,3.0,16.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/293203991/
34729435.0,4.0,CAR,71.1,,7.0,10.0,2024.0,1.0,1.0,3.0,2.0,https://www.cian.ru/sale/flat/300483970/
21565260.0,20.0,NEAR,65.4,,8.0,22.0,2021.0,1.0,0.0,2.79,2.0,https://www.cian.ru/sale/flat/295442247/
46855074.0,18.0,SWAR,74.2,,23.0,32.0,2021.0,1.0,0.0,3.1,2.0,https://www.cian.ru/sale/flat/296009970/
22142467.0,20.0,NEAR,60.2,,7.0,22.0,2021.0,1.0,0.0,2.65,2.0,https://www.cian.ru/sale/flat/298401392/
36000000.0,5.0,NWAR,70.3,25.6,16.0,29.0,2023.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/300868161/
16900000.0,7.0,NWAR,61.88,24.5,6.0,24.0,2024.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/300195289/
46966924.0,5.0,WAR,83.89,,44.0,57.0,2024.0,1.0,0.0,2.9,2.0,https://www.cian.ru/sale/flat/290418618/
18029400.0,16.0,NAR,59.7,29.7,7.0,15.0,2023.0,1.0,0.0,2.84,2.0,https://www.cian.ru/sale/flat/297033157/
19800000.0,10.0,NWAR,46.0,,9.0,26.0,2024.0,1.0,0.0,4.4,2.0,https://www.cian.ru/sale/flat/300567867/
11784950.0,9.0,EAR,32.01,20.6,12.0,25.0,2024.0,1.0,1.0,2.8,2.0,https://www.cian.ru/sale/flat/300470632/
34085000.0,14.0,SWAR,85.0,,10.0,23.0,2022.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/283749013/
13290010.0,9.0,EAR,35.33,23.7,20.0,25.0,2024.0,1.0,1.0,2.8,2.0,https://www.cian.ru/sale/flat/298003723/
40799069.0,25.0,SAR,84.51,37.6,8.0,12.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/285359326/
33786748.0,7.0,SAR,72.2,,23.0,24.0,2023.0,1.0,0.0,2.97,2.0,https://www.cian.ru/sale/flat/288141331/
29576436.0,6.0,SWAR,60.6,,2.0,12.0,2024.0,1.0,0.0,3.17,2.0,https://www.cian.ru/sale/flat/294550028/
